TSID,peer,parent,self,teacher
1072353092,28,22,27,24
1072353101,18,16,23,16
1072356012,9,18,8,16
1072356022,18,13,14,14
1072356031,24,29,24,24
1072356041,12,17,11,19
1072356052,24,26,18,13
1072356062,22,26,29,12
1072356071,13,24,30,18
1072356081,23,18,22,17
1072356092,12,27,13,12
1072356101,27,25,26,25
1072363012,14,21,23,14
1072363022,15,19,28,14
1072363031,20,12,23,15
1072363041,27,18,23,21
1072363052,23,19,17,19
1072363062,20,18,27,16
1072363071,25,27,25,26
1072363081,24,24,22,23
1072363092,30,15,17,16
1072363101,23,26,19,18
1072366012,28,21,18,22
1072366022,28,20,12,25
1072366031,25,18,15,11
1072366041,21,29,21,23
1072366052,24,26,27,27
1072366062,17,18,20,15
1072366071,19,25,22,17
1072366081,17,22,23,12
1072366092,25,20,21,24
1072366101,13,18,12,18
1072393012,19,30,23,31
1072393022,19,31,30,31
1072393031,29,25,26,31
1072393041,30,31,28,31
1072393052,16,24,27,31
1072393062,25,26,24,31
1072393071,27,31,27,31
1072393081,28,31,29,31
1072393092,30,31,21,31
1072393101,23,30,25,31
1072396012,29,20,24,19
1072396022,27,29,12,12
1072396031,25,21,32,22
1072396041,27,31,27,28
1072396052,24,25,22,27
1072396062,26,29,20,23
1072396071,29,29,22,22
1072396081,28,30,15,21
1072396092,28,25,17,27
1072396101,17,28,29,20
1072403012,28,15,19,17
1072403022,23,19,24,19
1072403031,25,30,18,20
1072403041,25,19,27,19
1072403052,13,20,21,9
1072403062,18,27,28,17
1072403071,16,30,27,17
1072403081,13,18,25,17
1072403092,25,24,24,20
1072403101,19,26,28,18
1072406012,27,27,29,25
1072406022,27,28,24,26
1072406031,19,30,31,29
1072406041,20,23,23,24
1072406052,32,22,21,26
1072406062,30,24,31,21
1072406071,27,25,23,20
1072406081,26,27,21,23
1072406092,26,28,23,27
1072406101,29,22,24,10
1081133012,28,24,29,24
1081133022,17,20,21,20
1081133031,15,20,16,16
1081133041,27,23,25,27
1081133052,18,21,22,14
1081133062,25,17,17,20
1081133071,18,16,25,10
1081133081,30,21,21,26
1081133092,29,14,18,22
1081133101,28,24,17,13
1081136012,23,18,24,24
1081136022,19,26,18,20
1081136031,23,24,24,17
1081136041,17,18,19,16
1081136052,19,19,23,16
1081136062,17,19,23,17
1081136071,17,22,20,18
1081136081,23,18,17,18
1081136092,15,19,18,14
1081136101,23,28,23,21
1081503012,14,20,20,25
1081503022,28,22,23,20
1081503031,7,16,10,13
1081503041,15,23,23,21
1081503052,26,9,12,21
1081503062,19,22,25,15
1081503071,27,19,23,24
1081503081,18,17,18,10
1081503092,25,28,27,19
1081503101,12,21,23,16
1081506012,18,23,23,22
1081506022,27,22,22,20
1081506031,6,17,23,14
1081506041,17,23,23,27
1081506052,12,11,13,8
1081506062,21,24,24,15
1081506071,14,16,17,12
1081506081,9,19,17,24
1081506092,31,25,25,28
1081506101,10,20,21,18
1082163012,15,25,17,15
1082163022,30,22,26,26
1082163031,20,27,18,22
1082163041,16,24,25,6
1082163052,28,27,32,21
1082163062,24,19,30,20
1082163071,30,26,29,28
1082163081,11,23,20,25
1082163092,28,26,29,16
1082163101,17,23,29,20
1082166012,23,20,17,15
1082166022,26,32,21,29
1082166031,17,18,24,27
1082166041,29,21,23,30
1082166052,21,23,24,17
1082166062,10,24,29,13
1082166071,14,22,26,9
1082166081,21,17,26,15
1082166092,21,25,23,20
1082166101,17,23,24,16
1082173012,21,21,18,20
1082173022,28,22,19,13
1082173031,26,17,30,22
1082173041,18,22,28,11
1082173052,27,24,26,24
1082173062,27,15,18,16
1082173071,23,19,27,24
1082173081,27,24,28,16
1082173092,19,20,26,12
1082173101,14,25,28,23
1082176012,15,21,16,13
1082176022,26,27,21,24
1082176031,11,21,18,13
1082176041,17,25,19,10
1082176052,21,27,22,21
1082176062,25,19,21,14
1082176071,9,20,20,19
1082176081,13,24,17,24
1082176092,22,21,19,26
1082176101,14,10,20,12
